File name,Path,Last modified,Created date,Last accessed,Size,Level,Inside files,Inside dirs,Created by
refs,D:\CODE\Github\currencyConverter\.git\logs\refs,2022-12-04 20:12:16.220950,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,7,3,3,rusab
heads,D:\CODE\Github\currencyConverter\.git\logs\refs\heads,2022-12-04 20:12:16.220950,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,8,1,0,rusab
remotes,D:\CODE\Github\currencyConverter\.git\logs\refs\remotes,2022-12-04 20:12:16.220950,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,8,2,1,rusab
origin,D:\CODE\Github\currencyConverter\.git\logs\refs\remotes\origin,2022-12-04 20:14:00.671389,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,9,2,0,rusab
objects,D:\CODE\Github\currencyConverter\.git\objects,2023-01-31 22:42:06.776129,2022-12-04 20:12:14.064059,1970-01-01 06:16:32,8192,6,53,48,rusab
01,D:\CODE\Github\currencyConverter\.git\objects\01,2022-12-04 20:12:17.330812,2022-12-04 20:12:17.268301,1970-01-01 04:00:00,0,7,1,0,rusab
03,D:\CODE\Github\currencyConverter\.git\objects\03,2022-12-04 20:12:18.473280,2022-12-04 20:12:18.425281,1970-01-01 04:00:00,0,7,1,0,rusab
04,D:\CODE\Github\currencyConverter\.git\objects\04,2022-12-04 20:12:17.659395,2022-12-04 20:12:17.612522,1970-01-01 04:00:00,0,7,1,0,rusab
15,D:\CODE\Github\currencyConverter\.git\objects\15,2022-12-04 20:13:53.527921,2022-12-04 20:13:53.479922,1970-01-01 04:00:00,0,7,1,0,rusab
1c,D:\CODE\Github\currencyConverter\.git\objects\1c,2022-12-04 20:12:18.129103,2022-12-04 20:12:18.081102,1970-01-01 04:00:00,0,7,1,0,rusab
1d,D:\CODE\Github\currencyConverter\.git\objects\1d,2022-12-08 00:32:17.430779,2022-12-08 00:32:17.379637,1970-01-01 04:00:00,0,7,1,0,rusab
23,D:\CODE\Github\currencyConverter\.git\objects\23,2022-12-04 20:12:16.565166,2022-12-04 20:12:16.517826,1970-01-01 04:00:00,0,7,1,0,rusab
27,D:\CODE\Github\currencyConverter\.git\objects\27,2022-12-04 20:12:17.221427,2022-12-04 20:12:17.174555,1970-01-01 04:00:00,0,7,1,0,rusab
2b,D:\CODE\Github\currencyConverter\.git\objects\2b,2023-01-31 22:32:09.137609,2023-01-31 22:32:09.059842,1970-01-01 04:00:00,0,7,1,0,rusab
2c,D:\CODE\Github\currencyConverter\.git\objects\2c,2022-12-04 20:12:17.377678,2022-12-04 20:12:17.330812,1970-01-01 04:00:00,0,7,1,0,rusab
31,D:\CODE\Github\currencyConverter\.git\objects\31,2022-12-04 20:12:16.908928,2022-12-04 20:12:16.815180,1970-01-01 04:00:00,0,7,2,0,rusab
33,D:\CODE\Github\currencyConverter\.git\objects\33,2022-12-04 20:12:17.612522,2022-12-04 20:12:17.596896,1970-01-01 04:00:00,0,7,1,0,rusab
34,D:\CODE\Github\currencyConverter\.git\objects\34,2022-12-04 20:12:18.521572,2022-12-04 20:12:17.080809,1970-01-01 04:00:00,0,7,2,0,rusab
38,D:\CODE\Github\currencyConverter\.git\objects\38,2022-12-04 20:12:18.281104,2022-12-04 20:12:18.233100,1970-01-01 04:00:00,0,7,1,0,rusab
3e,D:\CODE\Github\currencyConverter\.git\objects\3e,2022-12-04 20:12:18.377298,2022-12-04 20:12:18.281104,1970-01-01 04:00:00,0,7,1,0,rusab
47,D:\CODE\Github\currencyConverter\.git\objects\47,2022-12-04 20:12:17.706273,2022-12-04 20:12:17.659395,1970-01-01 04:00:00,0,7,1,0,rusab
48,D:\CODE\Github\currencyConverter\.git\objects\48,2022-12-04 20:12:17.080809,2022-12-04 20:12:16.940180,1970-01-01 04:00:00,0,7,1,0,rusab
4c,D:\CODE\Github\currencyConverter\.git\objects\4c,2022-12-04 20:12:18.081102,2022-12-04 20:12:17.817106,1970-01-01 04:00:00,0,7,2,0,rusab
52,D:\CODE\Github\currencyConverter\.git\objects\52,2022-12-04 20:12:18.049107,2022-12-04 20:12:17.969111,1970-01-01 04:00:00,0,7,1,0,rusab
57,D:\CODE\Github\currencyConverter\.git\objects\57,2022-12-04 20:12:16.220950,2022-12-04 20:12:16.158447,1970-01-01 04:00:00,0,7,1,0,rusab
58,D:\CODE\Github\currencyConverter\.git\objects\58,2022-12-04 20:12:16.940180,2022-12-04 20:12:16.908928,1970-01-01 04:00:00,0,7,1,0,rusab
5b,D:\CODE\Github\currencyConverter\.git\objects\5b,2022-12-04 20:12:16.721433,2022-12-04 20:12:16.674555,1970-01-01 04:00:00,0,7,1,0,rusab
63,D:\CODE\Github\currencyConverter\.git\objects\63,2022-12-04 20:12:16.299069,2022-12-04 20:12:16.220950,1970-01-01 04:00:00,0,7,1,0,rusab
67,D:\CODE\Github\currencyConverter\.git\objects\67,2022-12-04 20:12:17.768852,2022-12-04 20:12:17.737586,1970-01-01 04:00:00,0,7,1,0,rusab
6f,D:\CODE\Github\currencyConverter\.git\objects\6f,2022-12-08 00:32:17.297499,2022-12-08 00:32:17.246698,1970-01-01 04:00:00,0,7,1,0,rusab
74,D:\CODE\Github\currencyConverter\.git\objects\74,2022-12-04 20:13:53.391581,2022-12-04 20:13:53.311547,1970-01-01 04:00:00,0,7,1,0,rusab
7b,D:\CODE\Github\currencyConverter\.git\objects\7b,2022-12-08 00:32:17.246698,2022-12-08 00:32:17.198677,1970-01-01 04:00:00,0,7,1,0,rusab
7e,D:\CODE\Github\currencyConverter\.git\objects\7e,2022-12-04 20:12:16.815180,2022-12-04 20:12:16.768313,1970-01-01 04:00:00,0,7,1,0,rusab
81,D:\CODE\Github\currencyConverter\.git\objects\81,2022-12-04 20:12:16.470939,2022-12-04 20:12:16.424068,1970-01-01 04:00:00,0,7,1,0,rusab
8e,D:\CODE\Github\currencyConverter\.git\objects\8e,2022-12-04 20:12:16.424068,2022-12-04 20:12:16.299069,1970-01-01 04:00:00,0,7,1,0,rusab
9c,D:\CODE\Github\currencyConverter\.git\objects\9c,2022-12-04 20:12:17.565656,2022-12-04 20:12:17.487524,1970-01-01 04:00:00,0,7,1,0,rusab
9e,D:\CODE\Github\currencyConverter\.git\objects\9e,2022-12-04 20:12:16.517826,2022-12-04 20:12:16.470939,1970-01-01 04:00:00,0,7,1,0,rusab
a4,D:\CODE\Github\currencyConverter\.git\objects\a4,2022-12-04 20:12:17.793106,2022-12-04 20:12:17.768852,1970-01-01 04:00:00,0,7,1,0,rusab
ac,D:\CODE\Github\currencyConverter\.git\objects\ac,2022-12-04 20:12:16.768313,2022-12-04 20:12:16.721433,1970-01-01 04:00:00,0,7,1,0,rusab
b6,D:\CODE\Github\currencyConverter\.git\objects\b6,2022-12-04 20:12:17.737586,2022-12-04 20:12:17.706273,1970-01-01 04:00:00,0,7,1,0,rusab
b8,D:\CODE\Github\currencyConverter\.git\objects\b8,2022-12-08 00:32:17.371238,2022-12-04 20:12:17.565656,1970-01-01 04:00:00,0,7,3,0,rusab
b9,D:\CODE\Github\currencyConverter\.git\objects\b9,2023-01-31 22:32:09.010674,2023-01-31 22:32:08.893229,1970-01-01 04:00:00,0,7,1,0,rusab
bf,D:\CODE\Github\currencyConverter\.git\objects\bf,2022-12-04 20:12:17.268301,2022-12-04 20:12:17.221427,1970-01-01 04:00:00,0,7,1,0,rusab
c4,D:\CODE\Github\currencyConverter\.git\objects\c4,2022-12-04 20:13:53.591906,2022-12-04 20:13:53.535914,1970-01-01 04:00:00,0,7,1,0,rusab
cf,D:\CODE\Github\currencyConverter\.git\objects\cf,2022-12-04 20:12:18.185103,2022-12-04 20:12:18.129103,1970-01-01 04:00:00,0,7,1,0,rusab
d0,D:\CODE\Github\currencyConverter\.git\objects\d0,2022-12-04 20:12:16.658931,2022-12-04 20:12:16.612058,1970-01-01 04:00:00,0,7,1,0,rusab
d3,D:\CODE\Github\currencyConverter\.git\objects\d3,2023-01-31 22:32:09.186896,2023-01-31 22:32:09.138612,1970-01-01 04:00:00,0,7,1,0,rusab
e6,D:\CODE\Github\currencyConverter\.git\objects\e6,2022-12-04 20:12:17.487524,2022-12-04 20:12:17.377678,1970-01-01 04:00:00,0,7,1,0,rusab
e8,D:\CODE\Github\currencyConverter\.git\objects\e8,2022-12-04 20:12:18.425281,2022-12-04 20:12:18.377298,1970-01-01 04:00:00,0,7,1,0,rusab
ee,D:\CODE\Github\currencyConverter\.git\objects\ee,2022-12-04 20:12:18.233100,2022-12-04 20:12:18.185103,1970-01-01 04:00:00,0,7,1,0,rusab
fa,D:\CODE\Github\currencyConverter\.git\objects\fa,2022-12-04 20:12:16.612058,2022-12-04 20:12:16.565166,1970-01-01 04:00:00,0,7,1,0,rusab
